lvl;url;name
2;https://www.livelib.ru/genre/Общая-экономическая-теория;Общая экономическая теория;1423
2;https://www.livelib.ru/genre/Отраслевая-и-межотраслевая-экономика;Отраслевая и межотраслевая экономика;395
2;https://www.livelib.ru/genre/Управление-экономикой;Управление экономикой;1
2;https://www.livelib.ru/genre/Экономическая-география;Экономическая география;1
2;https://www.livelib.ru/genre/Экономическая-статистика;Экономическая статистика;2250
2;https://www.livelib.ru/genre/Экономический-анализ;Экономический анализ;542
0;https://www.livelib.ru/genre/Классическая-литература;Классическая литература;85938
1;https://www.livelib.ru/genre/Античная-литература;Античная литература;505
1;https://www.livelib.ru/genre/Древневосточная-литература;Древневосточная литература;102
1;https://www.livelib.ru/genre/Древнерусская-литература;Древнерусская литература;62
1;https://www.livelib.ru/genre/Европейская-старинная-литература;Европейская старинная литература;444
1;https://www.livelib.ru/genre/Зарубежная-классика;Зарубежная классика;29497
1;https://www.livelib.ru/genre/Зарубежная-старинная-литература;Зарубежная старинная литература;132
1;https://www.livelib.ru/genre/Классическая-проза;Классическая проза;20345
1;https://www.livelib.ru/genre/Литература-18-века;Литература 18 века;213
1;https://www.livelib.ru/genre/Литература-19-века;Литература 19 века;1824
1;https://www.livelib.ru/genre/Литература-20-века;Литература 20 века;5313
1;https://www.livelib.ru/genre/Мифы-легенды-эпос;Мифы, легенды, эпос;3398
1;https://www.livelib.ru/genre/Русская-классика;Русская классика;13634
1;https://www.livelib.ru/genre/Советская-литература;Советская литература;3163
1;https://www.livelib.ru/genre/Старинная-литература;Старинная литература;9978
1;https://www.livelib.ru/genre/Фольклор;Фольклор;2666
0;https://www.livelib.ru/genre/Зарубежная-литература;Зарубежная литература;175887
1;https://www.livelib.ru/genre/Зарубежная-деловая-литература;Зарубежная деловая литература;5017
1;https://www.livelib.ru/genre/Зарубежная-драматургия;Зарубежная драматургия;3470
1;https://www.livelib.ru/genre/Зарубежная-компьютерная-литература;Зарубежная компьютерная литература;618
1;https://www.livelib.ru/genre/Зарубежная-литература-о-культуре-и-искусстве;Зарубежная литература о культуре и искусстве;9192
1;https://www.livelib.ru/genre/Зарубежная-образовательная-литература;Зарубежная образовательная литература;2353
1;https://www.livelib.ru/genre/Зарубежная-классика;Зарубежная классика;29497
1;https://www.livelib.ru/genre/Зарубежная-поэзия;Зарубежная поэзия;3499
1;https://www.livelib.ru/genre/Зарубежная-прикладная-литература;Зарубежная прикладная литература;2674
1;https://www.livelib.ru/genre/Зарубежная-психология;Зарубежная психология;1132
1;https://www.livelib.ru/genre/Зарубежная-публицистика;Зарубежная публицистика;1152
1;https://www.livelib.ru/genre/Зарубежная-религиозная-и-эзотерическая-литература;Зарубежная религиозная и эзотерическая литература;530
1;https://www.livelib.ru/genre/Зарубежная-религиозная-литература;Зарубежная религиозная литература;7
1;https://www.livelib.ru/genre/Зарубежная-справочная-литература;Зарубежная справочная литература;7
1;https://www.livelib.ru/genre/Зарубежная-старинная-литература;Зарубежная старинная литература;132
1;https://www.livelib.ru/genre/Зарубежная-фантастика;Зарубежная фантастика;16857
1;https://www.livelib.ru/genre/Зарубежная-эзотерическая-литература;Зарубежная эзотерическая литература;4
1;https://www.livelib.ru/genre/Зарубежное-фэнтези;Зарубежное фэнтези;12974
1;https://www.livelib.ru/genre/Зарубежные-боевики;Зарубежные боевики;8
1;https://www.livelib.ru/genre/Зарубежные-детективы;Зарубежные детективы;20969
1;https://www.livelib.ru/genre/Зарубежные-детские-книги;Зарубежные детские книги;20912
1;https://www.livelib.ru/genre/Зарубежные-любовные-романы;Зарубежные любовные романы;22575
1;https://www.livelib.ru/genre/Зарубежные-приключения;Зарубежные приключения;405
1;https://www.livelib.ru/genre/Зарубежный-юмор;Зарубежный юмор;409
1;https://www.livelib.ru/genre/Современная-зарубежная-литература;Современная зарубежная литература;26224
0;https://www.livelib.ru/genre/Русская-литература;Русская литература;136353
1;https://www.livelib.ru/genre/Отечественные-детективы;Отечественные детективы;17386
2;https://www.livelib.ru/genre/Отечественный-мужской-детектив;Отечественный мужской детектив;9045
2;https://www.livelib.ru/genre/Отечественный-женский-детектив;Отечественный женский детектив;5752
2;https://www.livelib.ru/genre/Современный-отечественный-детекив;Современный отечественный детектив;634
2;https://www.livelib.ru/genre/Классический-отечественный-детектив;Классический отечественный детектив;1091
1;https://www.livelib.ru/genre/Отечественная-фантастика;Отечественная фантастика;13302
1;https://www.livelib.ru/genre/Отечественные-любовные-романы;Отечественные любовные романы;3689
1;https://www.livelib.ru/genre/Русское-фэнтези;Русское фэнтези;11414
1;https://www.livelib.ru/genre/Отечественный-боевик;Отечественный боевик;1104
1;https://www.livelib.ru/genre/Отечественная-поэзия;Отечественная поэзия;6917
1;https://www.livelib.ru/genre/Отечественная-драматургия;Отечественная драматургия;1884
1;https://www.livelib.ru/genre/Русская-литература-для-детей;Русская литература для детей;22902
2;https://www.livelib.ru/genre/Отечественная-проза-для-детей;Отечественная проза для детей;5
2;https://www.livelib.ru/genre/Сказки-отечественных-писателей;Сказки отечественных писателей;5312
2;https://www.livelib.ru/genre/Отечественная-поэзия-для-детей;Отечественная поэзия для детей;5753
2;https://www.livelib.ru/genre/Русская-классика-для-детей;Русская классика для детей;1150
1;https://www.livelib.ru/genre/Отечественные-мемуары;Отечественные мемуары;2237
1;https://www.livelib.ru/genre/Отечественный-юмор-и-сатира;Отечественный юмор и сатира;211
1;https://www.livelib.ru/genre/Русская-классика;Русская классика;13634
1;https://www.livelib.ru/genre/Древнерусская-литература;Древнерусская литература;62
1;https://www.livelib.ru/genre/Советская-литература;Советская литература;3163
1;https://www.livelib.ru/genre/Современная-русская-литература;Современная русская литература;40869
1;https://www.livelib.ru/genre/Историческая-отечественная-проза;Историческая отечественная проза;165
0;https://www.livelib.ru/genre/Детские-книги;Детские книги;199913
1;https://www.livelib.ru/genre/Буквари;Буквари;53
1;https://www.livelib.ru/genre/Внеклассное-чтение;Внеклассное чтение;80
1;https://www.livelib.ru/genre/Детская-познавательная-и-развивающая-литература;Детская познавательная и развивающая литература;58317
1;https://www.livelib.ru/genre/Детская-проза;Детская проза;12943
1;https://www.livelib.ru/genre/Детская-фантастика;Детская фантастика;4726
1;https://www.livelib.ru/genre/Детские-детективы;Детские детективы;4395
1;https://www.livelib.ru/genre/Детские-приключения;Детские приключения;5013
1;https://www.livelib.ru/genre/Детские-стихи;Детские стихи;6793
1;https://www.livelib.ru/genre/Зарубежные-детские-книги;Зарубежные детские книги;20912
1;https://www.livelib.ru/genre/Книги-для-детей;Книги для детей;3349
1;https://www.livelib.ru/genre/Книги-для-дошкольников;Книги для дошкольников;34932
1;https://www.livelib.ru/genre/Сказки;Сказки;24584
1;https://www.livelib.ru/genre/Русская-литература-для-детей;Русская литература для детей;22902
2;https://www.livelib.ru/genre/Сказки-отечественных-писателей;Сказки отечественных писателей;5312
2;https://www.livelib.ru/genre/Отечественная-проза-для-детей;Отечественная проза для детей;5
2;https://www.livelib.ru/genre/Отечественная-поэзия-для-детей;Отечественная поэзия для детей;5753
2;https://www.livelib.ru/genre/Русская-классика-для-детей;Русская классика для детей;1150
0;https://www.livelib.ru/genre/Детективы;Детективы;66774
1;https://www.livelib.ru/genre/Зарубежные-детективы;Зарубежные детективы;20969
1;https://www.livelib.ru/genre/Иронические-детективы;Иронические детективы;2223
1;https://www.livelib.ru/genre/Исторические-детективы;Исторические детективы;2843
1;https://www.livelib.ru/genre/Классические-детективы;Классические детективы;8965
1;https://www.livelib.ru/genre/Крутой-детектив;Крутой детектив;1186
1;https://www.livelib.ru/genre/Политические-детективы;Политические детективы;773
1;https://www.livelib.ru/genre/Полицейские-детективы;Полицейские детективы;2440
1;https://www.livelib.ru/genre/Современные-детективы;Современные детективы;11197
1;https://www.livelib.ru/genre/Триллеры;Триллеры;8776
1;https://www.livelib.ru/genre/Шпионские-детективы;Шпионские детективы;1318
1;https://www.livelib.ru/genre/Отечественные-детективы;Отечественные детективы;17386
2;https://www.livelib.ru/genre/Отечественный-женский-детектив;Отечественный женский детектив;5752
2;https://www.livelib.ru/genre/Отечественный-мужской-детектив;Отечественный мужской детектив;9045
2;https://www.livelib.ru/genre/Современный-отечественный-детектив;Современный отечественный детектив;634
2;https://www.livelib.ru/genre/Классический-отечественный-детектив;Классический отечественный детектив;1091
1;https://www.livelib.ru/genre/Ретро-детектив;Ретро-детектив;5
0;https://www.livelib.ru/genre/Фэнтези;Фэнтези;37175
1;https://www.livelib.ru/genre/Боевое-фэнтези;Боевое фэнтези;1594
1;https://www.livelib.ru/genre/Героическое-фэнтези;Героическое фэнтези;1577
1;https://www.livelib.ru/genre/Городское-фэнтези;Городское фэнтези;2503
1;https://www.livelib.ru/genre/Детективное-фэнтези;Детективное фэнтези;421
1;https://www.livelib.ru/genre/Зарубежное-фэнтези;Зарубежное фэнтези;12974
1;https://www.livelib.ru/genre/Историческое-фэнтези;Историческое фэнтези;1070
1;https://www.livelib.ru/genre/Книги-про-вампиров;Книги про вампиров;1240
1;https://www.livelib.ru/genre/Книги-про-волшебников;Книги про волшебников;1410
1;https://www.livelib.ru/genre/Романтическое-фэнтези;Романтическое фэнтези;4939
1;https://www.livelib.ru/genre/Попаданцы;Попаданцы;1415
1;https://www.livelib.ru/genre/Русское-фэнтези;Русское фэнтези;11414
1;https://www.livelib.ru/genre/Фэнтези-про-драконов;Фэнтези про драконов;450
1;https://www.livelib.ru/genre/Эротическое-фэнтези;Эротическое фэнтези;169
1;https://www.livelib.ru/genre/Юмористическое-фэнтези;Юмористическое фэнтези;2004
1;https://www.livelib.ru/genre/Темное-фэнтези;Темное фэнтези;156
0;https://www.livelib.ru/genre/Фантастика;Фантастика;68154
1;https://www.livelib.ru/genre/Боевая-фантастика;Боевая фантастика;7285
1;https://www.livelib.ru/genre/Героическая-фантастика;Героическая фантастика;5519
1;https://www.livelib.ru/genre/Детективная-фантастика;Детективная фантастика;2921
1;https://www.livelib.ru/genre/Зарубежная-фантастика;Зарубежная фантастика;16856
1;https://www.livelib.ru/genre/Историческая-фантастика;Историческая фантастика;5673
1;https://www.livelib.ru/genre/Киберпанк;Киберпанк;1547
1;https://www.livelib.ru/genre/Космическая-фантастика;Космическая фантастика;3405
1;https://www.livelib.ru/genre/Любовно-фантастические-романы;Любовно-фантастические романы;2988
1;https://www.livelib.ru/genre/Научная-фантастика;Научная фантастика;10788
1;https://www.livelib.ru/genre/Попаданцы;Попаданцы;1415
1;https://www.livelib.ru/genre/Социальная-фантастика;Социальная фантастика;2591
1;https://www.livelib.ru/genre/Стимпанк;Стимпанк;147
1;https://www.livelib.ru/genre/Юмористическая-фантастика;Юмористическая фантастика;1218
1;https://www.livelib.ru/genre/Отечественная-фантастика;Отечественная фантастика;13302
1;https://www.livelib.ru/genre/ЛитРПГ;ЛитРПГ;199
1;https://www.livelib.ru/genre/Альтернативная-история;Альтернативная история;4
0;https://www.livelib.ru/genre/Современная-проза;Современная проза;107355
1;https://www.livelib.ru/genre/Книги-о-войне;Книги о войне;3634
1;https://www.livelib.ru/genre/Контркультура;Контркультура;13019
1;https://www.livelib.ru/genre/Современная-зарубежная-литература;Современная зарубежная литература;26224
1;https://www.livelib.ru/genre/Современная-русская-литература;Современная русская литература;40869
0;https://www.livelib.ru/genre/Приключения;Приключения;57078
1;https://www.livelib.ru/genre/Вестерны;Вестерны;2413
1;https://www.livelib.ru/genre/Зарубежные-приключения;Зарубежные приключения;405
1;https://www.livelib.ru/genre/Исторические-приключения;Исторические приключения;16248
1;https://www.livelib.ru/genre/Книги-о-приключениях;Книги о приключениях;349
1;https://www.livelib.ru/genre/Книги-о-путешествиях;Книги о путешествиях;10302
1;https://www.livelib.ru/genre/Морские-приключения;Морские приключения;1665
0;https://www.livelib.ru/genre/Ужасы-мистика;Ужасы, мистика;35010
